,File Names,Effective Thermal Cond
230,6YRVON.npy,2.05
231,DH0JIO.npy,2.07
232,KBRUES.npy,2.09
233,53QAI8.npy,2.12
234,U7O3I6.npy,2.14
235,BQ2WA0.npy,2.17
236,FWAM7P.npy,2.2
237,Y7W4YW.npy,2.22
238,TLCKBE.npy,2.25
239,5500HJ.npy,2.28
240,MFK0YE.npy,2.31
241,VF86QO.npy,2.35
242,YZQMF4.npy,2.38
243,2YC3S8.npy,2.42
244,G3KQZA.npy,2.45
245,7KY1GJ.npy,2.49
246,U0FG01.npy,2.53
247,FAO7OO.npy,1.97
248,SFKOCW.npy,1.99
249,5W7FG6.npy,2.0
250,95F9HO.npy,2.02
251,SHT7X4.npy,2.04
252,LCJ97F.npy,2.06
253,Z13X1A.npy,2.09
254,ZTPKLZ.npy,2.11
255,X3N44M.npy,2.13
256,UWHHCZ.npy,2.15
257,RBXCIH.npy,2.18
258,80A3HD.npy,2.2
259,4S3K94.npy,2.23
260,UST02I.npy,2.25
261,Y07M8S.npy,2.28
262,E1TVVE.npy,2.31
263,OVMZBP.npy,2.34
264,I0Z0GO.npy,2.37
265,JCKSIV.npy,2.4
266,0WFN9D.npy,1.93
267,XM8F7E.npy,1.95
268,JSN0SQ.npy,1.96
269,PNGFUO.npy,1.98
270,IBKCI5.npy,1.99
271,HSNHS9.npy,2.01
272,5Y3D6C.npy,2.03
273,D10ZT3.npy,2.05
274,JP3O93.npy,2.07
275,6CIESR.npy,2.09
276,5SN1DG.npy,2.11
277,YNRYJI.npy,2.12
278,DZUQRN.npy,2.14
279,TNDH2C.npy,2.17
280,776BCR.npy,2.19
281,SE3M89.npy,2.21
282,X2Q8R3.npy,2.23
283,1RC67U.npy,2.25
284,NJ1HS5.npy,2.28
285,8UTRYU.npy,1.89
286,ZCTRJW.npy,1.91
287,MPK85P.npy,1.92
288,K0NGIP.npy,1.93
289,8I191K.npy,1.95
290,CTRCRP.npy,1.96
291,8HNIB3.npy,1.97
292,5WZHBE.npy,1.99
293,3CWWZV.npy,2.0
294,NA0V6Z.npy,2.02
295,OE8B2K.npy,2.03
296,XBHSCL.npy,2.05
297,N77IV0.npy,2.06
298,OG1R0S.npy,2.08
299,AWPEHI.npy,2.09
300,84Y2A8.npy,2.11
301,GFE2GF.npy,2.13
302,VI7EBW.npy,2.14
303,M97IPI.npy,2.16
304,0J56S8.npy,1.86
305,4X6YLJ.npy,1.87
306,NUD95M.npy,1.88
307,6C3MRA.npy,1.89
308,I2UJ2O.npy,1.9
309,JKQTRL.npy,1.91
310,0NLA4J.npy,1.92
311,N2NOYM.npy,1.93
312,HJNQKU.npy,1.94
313,C8N7P4.npy,1.95
314,KBOHD0.npy,1.96
315,SLLA3P.npy,1.97
316,MGDL0S.npy,1.98
317,TKK9M5.npy,1.99
318,FUX2B0.npy,2.0
319,F05H2A.npy,2.02
320,RSGYWX.npy,2.03
321,RQ8PHT.npy,2.04
322,K0YCRE.npy,2.05
323,MRFWIE.npy,1.82
324,KA4CY2.npy,1.83
325,VCJWVY.npy,1.83
326,AVS0S3.npy,1.84
327,1UDP9I.npy,1.85
328,6H4QTU.npy,1.85
329,NAXHAW.npy,1.86
330,E8DSAL.npy,1.87
331,QUC1CJ.npy,1.87
332,GSB1QB.npy,1.88
333,4A2RPP.npy,1.89
334,14OV22.npy,1.89
335,J6K9TA.npy,1.9
336,MYHV3N.npy,1.91
337,U2V4QP.npy,1.92
338,TDPII4.npy,1.92
339,UZHY0O.npy,1.93
340,V3YS0V.npy,1.94
341,V84I81.npy,1.95
342,9ZLG2Q.npy,1.79
343,NBY09T.npy,1.79
344,2NLMNW.npy,1.79
345,L0M91W.npy,1.79
346,IV14V8.npy,1.8
347,1F9W49.npy,1.8
348,T0VQFN.npy,1.8
349,WYW2Z7.npy,1.81
350,2JUNRN.npy,1.81
351,8TL878.npy,1.81
352,YS5ROY.npy,1.82
353,QXCR26.npy,1.82
354,FMFSRA.npy,1.82
355,NOIZQN.npy,1.83
356,AQAH99.npy,1.83
357,9U58AO.npy,1.84
358,GO8W8W.npy,1.84
359,DX48UA.npy,1.84
