,File Names,Therm Cond.,SiO2,ß-SiC,seg-Carbon
80,O7YHDJ.npy,2.45,0.249998,0.096565,0.653437
81,QVJIB4.npy,2.49,0.249997,0.121401,0.628602
82,PC6JFM.npy,2.54,0.250005,0.150831,0.599164
83,TCPT8H.npy,2.6,0.249999,0.180551,0.56945
84,YF0LRS.npy,2.66,0.250003,0.21507,0.534927
85,54XXZC.npy,2.73,0.249998,0.248901,0.501101
86,44HPN1.npy,2.8,0.249994,0.288241,0.461765
87,5NPYKH.npy,2.89,0.249995,0.329134,0.420871
88,2KTQK0.npy,2.98,0.249979,0.374675,0.375346
89,89LJ59.npy,3.09,0.250012,0.421941,0.328047
90,RBRQXD.npy,3.2,0.25,0.471703,0.278297
91,1KKKZX.npy,3.32,0.249991,0.521925,0.228084
92,SDPECP.npy,3.45,0.250007,0.577581,0.172412
93,BIORF0.npy,3.59,0.249999,0.633092,0.116909
94,CQ2YLR.npy,3.74,0.250001,0.690577,0.059422
95,B4NXFC.npy,2.27,0.300002,0.016774,0.683224
96,YFRITY.npy,2.3,0.300005,0.034504,0.665491
97,43J5WA.npy,2.34,0.299999,0.055173,0.644828
98,SG4HYI.npy,2.37,0.300005,0.076719,0.623276
99,70ADJO.npy,2.41,0.300004,0.10059,0.599406
100,S7NY9M.npy,2.45,0.30001,0.125002,0.574988
101,MFS52T.npy,2.5,0.300002,0.153426,0.546572
102,TR99ZE.npy,2.56,0.299989,0.182051,0.51796
103,L11OOH.npy,2.62,0.300003,0.214791,0.485206
104,EL1JU5.npy,2.68,0.300003,0.246853,0.453144
105,CXNMBN.npy,2.75,0.299996,0.283561,0.416443
106,CPQVJ2.npy,2.82,0.300006,0.321231,0.378763
107,C6IRQP.npy,2.91,0.29999,0.362622,0.337388
108,7RRYOJ.npy,3.0,0.300003,0.405305,0.294692
109,3D4STB.npy,3.1,0.299986,0.450326,0.249688
110,OHMYQC.npy,3.2,0.299999,0.495661,0.20434
111,03V8QP.npy,3.32,0.299975,0.545218,0.154807
112,267LG3.npy,3.44,0.300014,0.595088,0.104898
113,LOHJBZ.npy,3.57,0.300002,0.646801,0.053197
114,GY1HUA.npy,2.23,0.349994,0.017394,0.632612
115,UAMQ72.npy,2.26,0.349999,0.035678,0.614323
116,4VRZLI.npy,2.3,0.350003,0.056514,0.593483
117,DAHAR2.npy,2.33,0.349998,0.077922,0.57208
118,GPDTMF.npy,2.37,0.349988,0.101316,0.548696
119,Z2ULS5.npy,2.41,0.350007,0.12522,0.524773
120,VCR2PK.npy,2.46,0.349992,0.152796,0.497212
121,6HRLGE.npy,2.51,0.350005,0.179882,0.470113
122,5JR6A3.npy,2.56,0.349995,0.21048,0.439525
123,9NUSEB.npy,2.62,0.350002,0.241431,0.408567
124,LERQQ5.npy,2.69,0.350005,0.274757,0.375238
125,V3PH1O.npy,2.75,0.349993,0.309346,0.340661
126,Y48L23.npy,2.83,0.350006,0.346961,0.303033
127,21BU9Q.npy,2.91,0.350008,0.385495,0.264497
128,3H6KGV.npy,3.0,0.349985,0.425713,0.224302
129,XH2QS0.npy,3.09,0.350018,0.467006,0.182976
130,VIA22T.npy,3.19,0.349997,0.511315,0.138688
131,LWZFDI.npy,3.29,0.350011,0.555889,0.0941
132,1STOG8.npy,3.4,0.350001,0.602419,0.04758
133,AMOOZF.npy,2.2,0.399997,0.017499,0.582504
134,2WZCCV.npy,2.22,0.399997,0.035865,0.564138
135,92U073.npy,2.26,0.399986,0.056514,0.5435
136,DPEY3M.npy,2.29,0.400004,0.077472,0.522524
137,1MIQYP.npy,2.33,0.400001,0.100405,0.499594
138,YT70YX.npy,2.37,0.399992,0.123623,0.476385
139,PMUWZB.npy,2.41,0.400001,0.149461,0.450538
140,F8LVAE.npy,2.46,0.400006,0.174895,0.425099
141,UWXVB7.npy,2.51,0.400008,0.20405,0.395942
142,ABGK7G.npy,2.56,0.400001,0.231993,0.368006
143,2HE0VW.npy,2.62,0.400005,0.262953,0.337042
144,3MQW4G.npy,2.68,0.4,0.294607,0.305393
145,M48YQ8.npy,2.75,0.400019,0.329279,0.270702
146,M9YE9G.npy,2.82,0.400004,0.362936,0.23706
147,4QN9MR.npy,2.89,0.400004,0.399554,0.200442
148,4PKMR6.npy,2.97,0.399988,0.436995,0.163017
149,U2ICQV.npy,3.06,0.399958,0.4764,0.123642
150,757H39.npy,3.15,0.400011,0.516221,0.083768
151,BQ467O.npy,3.24,0.399996,0.557473,0.042531
152,73VX83.npy,2.16,0.450002,0.017466,0.532532
153,H5YVGK.npy,2.19,0.450002,0.035585,0.514413
154,4RTGTO.npy,2.22,0.449996,0.055228,0.494776
155,SSTVTN.npy,2.25,0.449994,0.076145,0.473861
156,V5TLTA.npy,2.28,0.450004,0.097548,0.452448
157,11I2LY.npy,2.32,0.450002,0.119586,0.430412
158,2W8N87.npy,2.36,0.449969,0.143963,0.406068
159,3826QX.npy,2.4,0.44998,0.167678,0.382342
160,VA69ZO.npy,2.45,0.44999,0.194536,0.355474
161,CLE2M9.npy,2.5,0.449979,0.220419,0.329602
162,MK0PYE.npy,2.55,0.449998,0.248894,0.301108
163,GCYVEU.npy,2.6,0.450005,0.277524,0.272471
164,WGZ7PE.npy,2.66,0.450001,0.309026,0.240973
165,00262A.npy,2.72,0.450036,0.33933,0.210634
166,PXZZ44.npy,2.79,0.449995,0.37217,0.177835
167,7687OY.npy,2.86,0.449985,0.405465,0.14455
168,HBOKXE.npy,2.93,0.45,0.440464,0.109536
169,8XYQ01.npy,3.01,0.450001,0.475716,0.074283
170,FGEFGS.npy,3.09,0.449962,0.512329,0.037709
171,IKBGYR.npy,2.12,0.499996,0.016796,0.483208
172,DRJ4CT.npy,2.15,0.5,0.034664,0.465336
173,7WLSTR.npy,2.18,0.499996,0.05358,0.446424
174,5SE99G.npy,2.21,0.500002,0.073342,0.426656
175,AN50RP.npy,2.24,0.500006,0.093263,0.406731
176,I5WFZ9.npy,2.27,0.499986,0.114012,0.386002
177,S4PDCH.npy,2.31,0.499994,0.136808,0.363198
178,2BAND6.npy,2.35,0.500016,0.158533,0.341451
179,4ZLTPZ.npy,2.39,0.500002,0.183487,0.316511
180,QGMXFT.npy,2.43,0.500002,0.206982,0.293016
181,YNNWWI.npy,2.48,0.5,0.23266,0.26734
182,5KW75B.npy,2.52,0.499993,0.258734,0.241273
183,WT50XA.npy,2.58,0.499994,0.286719,0.213287
184,2NVBQ9.npy,2.63,0.500001,0.313544,0.186455
185,AEWGQW.npy,2.68,0.499968,0.342934,0.157098
186,CBT8OY.npy,2.74,0.500022,0.372275,0.127703
187,PFHYLE.npy,2.81,0.499991,0.403162,0.096847
188,OD8TGE.npy,2.87,0.500009,0.434714,0.065277
189,QUSZ2X.npy,2.94,0.500022,0.466928,0.03305
190,QM5ZDX.npy,2.08,0.550007,0.015942,0.434051
191,5DL146.npy,2.11,0.549994,0.032992,0.417014
192,KIXDCD.npy,2.13,0.550013,0.050767,0.39922
193,PIUTRB.npy,2.16,0.549992,0.069076,0.380932
194,ELJ6G2.npy,2.19,0.549993,0.088053,0.361954
195,SP7VLY.npy,2.22,0.549997,0.106665,0.343338
196,9INEBU.npy,2.26,0.550011,0.127905,0.322084
197,3IW8AA.npy,2.29,0.549973,0.147851,0.302176
198,6RA5PZ.npy,2.33,0.549974,0.169974,0.280052
199,DLFYIQ.npy,2.36,0.55,0.191498,0.258502
200,SMNVAQ.npy,2.4,0.549999,0.214378,0.235623
201,0ZIGJ0.npy,2.44,0.550035,0.237891,0.212074
202,WZGJY9.npy,2.49,0.549993,0.262584,0.187423
203,LUNKR4.npy,2.53,0.550016,0.286222,0.163762
204,2ZFAXX.npy,2.58,0.549971,0.312608,0.137421
205,ENZLQN.npy,2.63,0.550011,0.33861,0.111379
206,2I0MCX.npy,2.68,0.549994,0.36556,0.084446
207,Q5Z7D0.npy,2.74,0.549986,0.393081,0.056933
208,39C3ZQ.npy,2.8,0.54999,0.421063,0.028947
209,TNAGCS.npy,2.04,0.599998,0.015084,0.384918
210,HR6VOM.npy,2.07,0.599992,0.030884,0.369124
211,UHD6K1.npy,2.09,0.599995,0.047188,0.352817
212,M2FH94.npy,2.12,0.599984,0.063893,0.336123
213,9W04WO.npy,2.14,0.599997,0.081484,0.318519
214,8SNYWO.npy,2.17,0.600015,0.098365,0.30162
215,181VI8.npy,2.2,0.599987,0.117406,0.282607
216,3VU5RP.npy,2.23,0.600012,0.135245,0.264743
217,9GHVGT.npy,2.26,0.599997,0.155179,0.244824
218,EC52FD.npy,2.29,0.600035,0.174303,0.225662
219,PZKNPE.npy,2.33,0.600025,0.19469,0.205285
220,O49B1L.npy,2.36,0.600046,0.215517,0.184437
221,SOW7ES.npy,2.4,0.600004,0.23703,0.162966
222,XXO3ZU.npy,2.44,0.599998,0.257793,0.142209
223,8C62AK.npy,2.48,0.600013,0.281116,0.118871
224,8MURJE.npy,2.52,0.600004,0.303764,0.096232
225,6PT3ZT.npy,2.57,0.599991,0.327061,0.072948
226,FXPF8F.npy,2.61,0.600002,0.351001,0.048997
227,ANNTOQ.npy,2.66,0.600026,0.374967,0.025007
228,WRF555.npy,2.0,0.650004,0.013785,0.336211
229,0R6P8Q.npy,2.03,0.649996,0.028364,0.32164
230,6YRVON.npy,2.05,0.650002,0.042881,0.307117
231,DH0JIO.npy,2.07,0.650006,0.057915,0.292079
232,KBRUES.npy,2.09,0.650009,0.073729,0.276262
233,53QAI8.npy,2.12,0.650001,0.089037,0.260962
234,U7O3I6.npy,2.14,0.650031,0.105448,0.244521
235,BQ2WA0.npy,2.17,0.650007,0.12174,0.228253
236,FWAM7P.npy,2.2,0.650008,0.139404,0.210588
237,Y7W4YW.npy,2.22,0.649998,0.156036,0.193966
238,TLCKBE.npy,2.25,0.649981,0.173934,0.176085
239,5500HJ.npy,2.28,0.649999,0.191937,0.158064
240,MFK0YE.npy,2.31,0.649989,0.210402,0.139609
241,VF86QO.npy,2.35,0.650042,0.228449,0.121509
242,YZQMF4.npy,2.38,0.649997,0.24864,0.101363
243,2YC3S8.npy,2.42,0.650007,0.26793,0.082063
244,G3KQZA.npy,2.45,0.649972,0.288058,0.06197
245,7KY1GJ.npy,2.49,0.649957,0.308506,0.041537
246,U0FG01.npy,2.53,0.649986,0.328813,0.021201
247,FAO7OO.npy,1.97,0.699988,0.012257,0.287755
248,SFKOCW.npy,1.99,0.700002,0.025253,0.274745
249,5W7FG6.npy,2.0,0.699996,0.038322,0.261682
250,95F9HO.npy,2.02,0.700011,0.051588,0.248401
251,SHT7X4.npy,2.04,0.700007,0.065037,0.234956
252,LCJ97F.npy,2.06,0.700015,0.078719,0.221266
253,Z13X1A.npy,2.09,0.699968,0.092726,0.207306
254,ZTPKLZ.npy,2.11,0.7,0.10706,0.19294
255,X3N44M.npy,2.13,0.699993,0.122298,0.177709
256,UWHHCZ.npy,2.15,0.700003,0.136588,0.163409
257,RBXCIH.npy,2.18,0.699989,0.152239,0.147772
258,80A3HD.npy,2.2,0.699999,0.167062,0.132939
259,4S3K94.npy,2.23,0.70002,0.182636,0.117344
260,UST02I.npy,2.25,0.699993,0.198207,0.1018
261,Y07M8S.npy,2.28,0.700004,0.215019,0.084977
262,E1TVVE.npy,2.31,0.699961,0.231603,0.068436
263,OVMZBP.npy,2.34,0.700034,0.248398,0.051568
264,I0Z0GO.npy,2.37,0.700009,0.265357,0.034634
265,JCKSIV.npy,2.4,0.699976,0.282316,0.017708
266,0WFN9D.npy,1.93,0.749979,0.010684,0.239337
267,XM8F7E.npy,1.95,0.750001,0.021766,0.228233
268,JSN0SQ.npy,1.96,0.75,0.032869,0.217131
269,PNGFUO.npy,1.98,0.749985,0.044301,0.205714
270,IBKCI5.npy,1.99,0.750011,0.05584,0.194149
271,HSNHS9.npy,2.01,0.749996,0.067512,0.182492
272,5Y3D6C.npy,2.03,0.750016,0.079164,0.17082
273,D10ZT3.npy,2.05,0.749994,0.091191,0.158815
274,JP3O93.npy,2.07,0.75,0.104196,0.145804
275,6CIESR.npy,2.09,0.749989,0.116164,0.133847
276,5SN1DG.npy,2.11,0.750006,0.128919,0.121075
277,YNRYJI.npy,2.12,0.749969,0.141316,0.108715
278,DZUQRN.npy,2.14,0.749977,0.15403,0.095993
279,TNDH2C.npy,2.17,0.750029,0.167138,0.082833
280,776BCR.npy,2.19,0.750017,0.18085,0.069133
281,SE3M89.npy,2.21,0.750015,0.194234,0.055751
282,X2Q8R3.npy,2.23,0.749965,0.208094,0.041941
283,1RC67U.npy,2.25,0.749996,0.221898,0.028106
284,NJ1HS5.npy,2.28,0.750001,0.235751,0.014248
285,8UTRYU.npy,1.89,0.799997,0.008907,0.191096
286,ZCTRJW.npy,1.91,0.799995,0.018002,0.182003
287,MPK85P.npy,1.92,0.800011,0.027127,0.172862
288,K0NGIP.npy,1.93,0.79998,0.036489,0.163531
289,8I191K.npy,1.95,0.800016,0.045858,0.154126
290,CTRCRP.npy,1.96,0.800003,0.05533,0.144667
291,8HNIB3.npy,1.97,0.800001,0.064832,0.135167
292,5WZHBE.npy,1.99,0.800016,0.074418,0.125566
293,3CWWZV.npy,2.0,0.799996,0.085017,0.114987
294,NA0V6Z.npy,2.02,0.799953,0.094664,0.105383
295,OE8B2K.npy,2.03,0.799985,0.10463,0.095385
296,XBHSCL.npy,2.05,0.800005,0.114628,0.085367
297,N77IV0.npy,2.06,0.8,0.124678,0.075322
298,OG1R0S.npy,2.08,0.79998,0.135021,0.064999
299,AWPEHI.npy,2.09,0.799979,0.146108,0.053913
300,84Y2A8.npy,2.11,0.799987,0.156542,0.043471
301,GFE2GF.npy,2.13,0.800002,0.167257,0.032741
302,VI7EBW.npy,2.14,0.800009,0.178022,0.021969
303,M97IPI.npy,2.16,0.800062,0.188829,0.011109
304,0J56S8.npy,1.86,0.850003,0.006902,0.143095
305,4X6YLJ.npy,1.87,0.850004,0.013907,0.136089
306,NUD95M.npy,1.88,0.849983,0.020897,0.12912
307,6C3MRA.npy,1.89,0.850011,0.027985,0.122004
308,I2UJ2O.npy,1.9,0.850005,0.035359,0.114636
309,JKQTRL.npy,1.91,0.850057,0.042261,0.107682
310,0NLA4J.npy,1.92,0.849988,0.049698,0.100314
311,N2NOYM.npy,1.93,0.850001,0.056979,0.09302
312,HJNQKU.npy,1.94,0.850013,0.06465,0.085337
313,C8N7P4.npy,1.95,0.850001,0.071976,0.078023
314,KBOHD0.npy,1.96,0.849997,0.079561,0.070442
315,SLLA3P.npy,1.97,0.850001,0.087194,0.062805
316,MGDL0S.npy,1.98,0.850005,0.094394,0.055601
317,TKK9M5.npy,1.99,0.850011,0.102219,0.04777
318,FUX2B0.npy,2.0,0.850004,0.110245,0.039751
319,F05H2A.npy,2.02,0.849981,0.118055,0.031964
320,RSGYWX.npy,2.03,0.850004,0.125835,0.024161
321,RQ8PHT.npy,2.04,0.849964,0.133968,0.016068
322,K0YCRE.npy,2.05,0.850005,0.141866,0.008129
323,MRFWIE.npy,1.82,0.899984,0.004819,0.095197
324,KA4CY2.npy,1.83,0.900011,0.009594,0.090395
325,VCJWVY.npy,1.83,0.89999,0.014344,0.085666
326,AVS0S3.npy,1.84,0.899997,0.019185,0.080818
327,1UDP9I.npy,1.85,0.900008,0.024088,0.075904
328,6H4QTU.npy,1.85,0.899983,0.028882,0.071135
329,NAXHAW.npy,1.86,0.899984,0.033882,0.066134
330,E8DSAL.npy,1.87,0.90001,0.038656,0.061334
331,QUC1CJ.npy,1.87,0.899983,0.043779,0.056238
332,GSB1QB.npy,1.88,0.9,0.048854,0.051146
333,4A2RPP.npy,1.89,0.900033,0.053704,0.046263
334,14OV22.npy,1.89,0.899993,0.058759,0.041248
335,J6K9TA.npy,1.9,0.900017,0.063604,0.036379
336,MYHV3N.npy,1.91,0.900046,0.068765,0.031189
337,U2V4QP.npy,1.92,0.900016,0.074106,0.025878
338,TDPII4.npy,1.92,0.899993,0.079109,0.020898
339,UZHY0O.npy,1.93,0.900031,0.084324,0.015645
340,V3YS0V.npy,1.94,0.899999,0.089608,0.010393
341,V84I81.npy,1.95,0.899996,0.094703,0.005301
342,9ZLG2Q.npy,1.79,0.950006,0.002464,0.04753
343,NBY09T.npy,1.79,0.949997,0.004859,0.045144
344,2NLMNW.npy,1.79,0.950006,0.007372,0.042622
345,L0M91W.npy,1.79,0.94999,0.009837,0.040173
346,IV14V8.npy,1.8,0.949998,0.012276,0.037726
347,1F9W49.npy,1.8,0.950016,0.014721,0.035263
348,T0VQFN.npy,1.8,0.950018,0.017245,0.032737
349,WYW2Z7.npy,1.81,0.950033,0.019655,0.030312
350,2JUNRN.npy,1.81,0.950031,0.02224,0.027729
351,8TL878.npy,1.81,0.950001,0.024731,0.025268
352,YS5ROY.npy,1.82,0.95001,0.027199,0.022791
353,QXCR26.npy,1.82,0.949996,0.029698,0.020306
354,FMFSRA.npy,1.82,0.950006,0.032148,0.017846
355,NOIZQN.npy,1.83,0.950003,0.034689,0.015308
356,AQAH99.npy,1.83,0.949969,0.037312,0.012719
357,9U58AO.npy,1.84,0.949974,0.039781,0.010245
358,GO8W8W.npy,1.84,0.950012,0.042351,0.007637
359,DX48UA.npy,1.84,0.950033,0.044864,0.005103
